reserva_id,codigo_reserva,numero_ticket,vuelo_id,pasaporte_comprador,nombre_comprador,nacionalidad_comprador,fecha_nacimiento_comprador,numero_asiento,clase,comida_y_maleta,pasaporte_pasajero,nombre_pasajero,nacionalidad_pasajero,fecha_nacimiento_pasajero
4263,LAT5532-4263,2096,100,V03976673,Mark Greene,Chilena,1998-12-09,21,Primera clase,FALSO,V03976673,Mark Greene,Chilena,1998-12-09
1722,LRC9669-1722,4435,130,N07672370,Kevin Wilson,Uruguaya,1986-09-11,4,Economica,FALSO,I07581924,Kelsey Powell,Francesa,1989-07-10
2621,LAW6318-2621,6305,96,I19062847,Christopher Garcia,Chilena,1986-12-06,8,Primera clase,FALSO,F15206543,Kristen Harris,Chilena,1972-11-25
219,LAW6351-0219,8161,105,L56496275,Cheryl Bolton,Uruguaya,1972-12-16,6,Ejecutiva,FALSO,P34583903,Kelsey Huff,Estadounidense,1972-08-08
1037,LAT5532-1037,316,100,X66304032,Victoria Odom,Francesa,1986-12-04,22,Economica,VERDADERO,H23592194,Ethan Gilbert,Uruguaya,1975-12-30
1331,ETA7128-1331,3411,114,V03976673,Mark Greene,Chilena,1998-12-09,26,Primera clase,VERDADERO,V03976673,Mark Greene,Chilena,1998-12-09
2704,UAN2468-2704,4516,99,X84322989,Mr. Russell Abbott,Chilena,1984-11-16,17,Economica,VERDADERO,C87025090,Diana Frank,Alemana,1979-12-07
3978,LUD7177-3978,3856,121,G15489494,Anthony Francis,Argentina,1988-02-13,3,Economica,FALSO,G15489494,Anthony Francis,Argentina,1988-02-13
616,ETA6742-0616,7951,120,L87663260,Heather Bolton,Estadounidense,1982-09-17,4,Ejecutiva,VERDADERO,J46610530,Andrew Torres,Alemana,1981-12-01
4160,LRC9669-4160,7946,130,W06120402,Adam Clark,Estadounidense,1993-06-10,25,Primera clase,VERDADERO,U37349664,Diane Ritter,Venezolana,1996-05-05
820,COG4299-0820,3309,129,J34719947,Heather Scott,Estadounidense,1973-05-02,18,Economica,FALSO,J86333952,Leslie Howard,Venezolana,1971-09-22
4470,LRC4743-4470,4133,110,X84322989,Mr. Russell Abbott,Chilena,1984-11-16,18,Economica,VERDADERO,F15206543,Kristen Harris,Chilena,1972-11-25
2542,BTA8394-2542,7224,128,I19062847,Christopher Garcia,Chilena,1986-12-06,21,Ejecutiva,FALSO,R17782317,Zachary Davenport,Venezolana,1971-12-29
4209,XLE7933-4209,157,95,M25657749,Casey Bennett,Estadounidense,1984-03-12,19,Economica,VERDADERO,M25657749,Casey Bennett,Estadounidense,1984-03-12
2855,LUD5927-2855,8599,102,C87025090,Diana Frank,Alemana,1979-12-07,11,Economica,FALSO,T33834498,Alejandro Allen,Chilena,1992-05-20
372,LRC4743-0372,195,110,L87663260,Heather Bolton,Estadounidense,1982-09-17,20,Economica,VERDADERO,J86333952,Leslie Howard,Venezolana,1971-09-22
1642,QAF4466-1642,4873,126,V79731274,Corey Elliott,Venezolana,1979-10-04,6,Ejecutiva,FALSO,D76513142,Victoria Brennan,Uruguaya,1977-06-19
